0.34375,2.78125,28.5
0.328125,3.171875,26.421875
0.3125,1.875,26.125
0.328125,2.84375,26.234375
0.328125,2.78125,25.84375
0.3125,1.96875,25.859375
0.3125,3.046875,25.75
0.328125,1.921875,26.34375
0.328125,2.09375,25.796875
0.328125,3.03125,26.234375
0.3125,2.78125,26.015625
0.328125,2.8125,26.21875
0.34375,3.078125,26.28125
0.328125,2.578125,26.3125
0.34375,2.828125,26.21875
0.3125,1.921875,25.984375
0.34375,3.109375,26.09375
0.328125,3.328125,25.796875
0.328125,2.78125,25.828125
0.359375,3.09375,25.90625
0.328125,2.9375,26.078125
0.296875,2.765625,25.71875
0.34375,2.65625,25.75
0.3125,2.203125,25.796875
0.359375,3.359375,25.734375
0.328125,2.984375,25.828125
0.328125,2.515625,25.875
0.328125,2.40625,25.765625
0.34375,3.125,25.8125
0.34375,2.828125,25.78125
0.296875,2.546875,26.046875
0.328125,2.40625,25.828125
0.328125,2.328125,26.328125
0.3125,1.9375,25.921875
0.34375,2.78125,26.109375
0.328125,2.78125,26.125
0.3125,2.0625,26.375
0.328125,2.59375,26.46875
0.359375,2.90625,26.21875
0.296875,2.390625,27.421875
0.328125,1.984375,25.765625
